ts,consumo_gas,producao,turno,gas/prod
2020-08-19 17:44:42,23.175520000000002,545.9688,TURNO 2,42.448432950747375
2020-08-19 17:49:38,23.474320000000002,521.5943,TURNO 2,45.00493966287593
2020-08-19 17:54:44,23.32725,485.37300000000005,TURNO 2,48.060460717839675
2020-08-19 17:59:41,22.8387,561.8386,TURNO 2,40.64993042485867
2020-08-19 18:04:47,23.750999999999998,607.5875,TURNO 2,39.090665953463485
2020-08-19 18:09:43,24.816689999999998,645.5499,TURNO 2,38.442713723602154
2020-08-19 18:14:39,27.13522,679.5864,TURNO 2,39.929021534274376
2020-08-19 18:19:46,27.60975,645.4437,TURNO 2,42.77638777789604
2020-08-19 18:24:42,26.45583,569.2921,TURNO 2,46.47145112324586
2020-08-19 18:29:38,22.848670000000002,481.6451,TURNO 2,47.43880919789281
2020-08-19 18:34:45,22.26735,496.8889,TURNO 2,44.81353880112839
2020-08-19 18:39:41,22.59007,576.0796,TURNO 2,39.21345244650218
2020-08-19 18:44:38,25.18956,625.0169999999999,TURNO 2,40.302199780165985
2020-08-19 18:49:47,27.660290000000003,656.938,TURNO 2,42.10487138816754
2020-08-19 18:54:43,28.7602,674.1565,TURNO 2,42.661014171041884
2020-08-19 18:59:43,28.641440000000003,679.6285,TURNO 2,42.142788302727155
2020-08-19 19:04:39,28.382270000000002,677.1224,TURNO 2,41.916011049110175
2020-08-19 19:09:48,27.87518,676.1155,TURNO 2,41.22842916631848
2020-08-19 19:14:45,27.534059999999997,681.0973,TURNO 2,40.42603017219419
2020-08-19 19:19:41,27.53845,683.783,TURNO 2,40.27366869313803
2020-08-19 19:24:47,27.47611,685.4741,TURNO 2,40.083367117736465
2020-08-19 19:29:43,27.610229999999998,683.7419,TURNO 2,40.38107069348829
2020-08-19 19:34:40,27.573259999999998,684.6373,TURNO 2,40.27425908579623
2020-08-19 19:39:46,27.598979999999997,653.9681,TURNO 2,42.202333722394094
2020-08-19 19:44:42,24.540020000000002,622.7135,TURNO 2,39.408202969744515
2020-08-19 19:49:39,24.52145,617.5017,TURNO 2,39.71074087731257
2020-08-19 19:54:46,24.72727,616.9866,TURNO 2,40.07748304420226
2020-08-19 19:59:44,24.922320000000003,620.1639,TURNO 2,40.18666678276501
2020-08-19 20:04:40,24.896910000000002,1005.6,TURNO 2,24.75826372315036
2020-08-19 20:11:11,8.31494,513.8605,TURNO 2,16.181317692253053
2020-08-19 20:16:08,1.309453,43.30672,TURNO 2,30.236716149364348
2020-08-19 20:21:04,18.91244,437.3732,TURNO 2,43.24096675333559
2020-08-19 20:26:11,22.75018,427.5851,TURNO 2,53.2062038644471
2020-08-19 20:31:07,22.38035,483.9057,TURNO 2,46.24940355114643
2020-08-19 20:36:14,26.227629999999998,564.6865,TURNO 2,46.446355632727176
2020-08-19 20:41:10,26.09645,620.286,TURNO 2,42.07164114618096
2020-08-19 20:46:06,25.68424,624.1674,TURNO 2,41.14960185360529
2020-08-19 20:51:13,24.51371,570.5961,TURNO 2,42.96158000378902
2020-08-19 20:56:09,24.1182,498.7684,TURNO 2,48.35550929048432
2020-08-19 21:01:06,22.510289999999998,426.861,TURNO 2,52.73447328287194
2020-08-19 21:06:12,21.12155,453.4594,TURNO 2,46.57870142288372
2020-08-19 21:11:08,21.66536,500.6985,TURNO 2,43.27027143081116
2020-08-19 21:16:04,23.43683,544.9348,TURNO 2,43.00850303559252
2020-08-19 21:21:11,24.763379999999998,551.3580000000001,TURNO 2,44.91343192626206
2020-08-19 21:26:08,24.81241,552.1259,TURNO 2,44.9397682666218
2020-08-19 21:31:04,24.77112,556.0151,TURNO 2,44.5511641680235
2020-08-19 21:36:11,24.6234,557.5399,TURNO 2,44.16437280991011
2020-08-19 21:41:07,24.145979999999998,554.6216,TURNO 2,43.535953161578995
2020-08-19 21:46:14,24.08053,554.2962,TURNO 2,43.44343331236981
2020-08-19 21:51:11,24.13084,557.0648,TURNO 2,43.31783304204466
2020-08-19 21:56:07,24.164620000000003,561.1434,TURNO 2,43.063181354356125
2020-08-19 22:01:13,24.16091,559.9376,TURNO 3,43.14929020662303
2020-08-19 22:06:09,24.52552,558.5694,TURNO 3,43.90774002299446
2020-08-19 22:11:06,25.87923,557.7176,TURNO 3,46.40203213956311
2020-08-19 22:16:13,25.61114,561.7130000000001,TURNO 3,45.59470761759118
2020-08-19 22:21:09,24.56213,564.439,TURNO 3,43.51600438665649
2020-08-19 22:26:06,24.0815,565.7025,TURNO 3,42.56919493903598
2020-08-19 22:31:12,24.0417,565.5511,TURNO 3,42.510217025481865
2020-08-19 22:36:09,23.26845,562.5980000000001,TURNO 3,41.358927689042616
2020-08-19 22:41:05,23.61356,565.94,TURNO 3,41.724493762589674
2020-08-19 22:46:12,24.09759,561.4557,TURNO 3,42.91984211755264
2020-08-19 22:51:08,24.15559,566.7318,TURNO 3,42.62261267146118
2020-08-19 22:56:05,24.11105,549.462,TURNO 3,43.88119651586461
2020-08-19 23:01:11,23.99618,501.0662,TURNO 3,47.890238854666315
2020-08-19 23:06:08,24.065520000000003,544.7601,TURNO 3,44.17636313672754
2020-08-19 23:11:15,24.1622,567.4063,TURNO 3,42.58359485962704
2020-08-19 23:16:11,24.23516,568.7476,TURNO 3,42.61145014062477
2020-08-19 23:21:07,24.1344,567.2307,TURNO 3,42.54776760143624
2020-08-19 23:26:14,23.947860000000002,568.1886,TURNO 3,42.14773052468846
2020-08-19 23:31:10,23.925629999999998,567.0036,TURNO 3,42.19661039189169
2020-08-19 23:36:07,24.13105,567.5226,TURNO 3,42.5199807020901
2020-08-19 23:41:13,24.05121,565.2443,TURNO 3,42.55011505644551
2020-08-19 23:46:13,24.030089999999998,564.4621,TURNO 3,42.571662472998625
2020-08-19 23:51:09,24.16872,600.033,TURNO 3,40.27898465584393
2020-08-19 23:56:05,24.163529999999998,822.2560000000001,TURNO 3,29.386869782646762
2020-08-20 00:01:14,23.34933,509.7506,TURNO 3,45.80539973861727
2020-08-20 00:06:11,23.23144,532.491,TURNO 3,43.62785474308486
2020-08-20 00:11:07,24.280179999999998,558.4407,TURNO 3,43.478528696063876
2020-08-20 00:16:14,24.615779999999997,562.0539,TURNO 3,43.79611990949622
2020-08-20 00:21:10,24.60964,561.1814,TURNO 3,43.85327097441219
2020-08-20 00:26:06,24.5562,560.9307,TURNO 3,43.777600334586786
2020-08-20 00:31:13,24.51647,568.9611,TURNO 3,43.08988786755369
2020-08-20 00:36:09,25.18218,620.7073,TURNO 3,40.57013668117001
2020-08-20 00:41:06,25.613139999999998,635.1691,TURNO 3,40.324915050181126
2020-08-20 00:46:12,25.58788,634.3480000000001,TURNO 3,40.33729120293592
2020-08-20 00:51:09,25.47561,585.3411,TURNO 3,43.52267421508587
2020-08-20 00:56:06,24.64167,541.3061,TURNO 3,45.522616501088756
2020-08-20 01:01:14,22.58305,502.2682,TURNO 3,44.962133776337026
2020-08-20 01:06:11,22.37791,496.2701,TURNO 3,45.09219878449256
2020-08-20 01:11:07,22.471429999999998,495.4999,TURNO 3,45.35102832513184
2020-08-20 01:16:14,22.53153,486.9947,TURNO 3,46.26647887543745
2020-08-20 01:21:10,22.197110000000002,499.0526,TURNO 3,44.47849785774085
2020-08-20 01:26:06,23.29476,528.9677,TURNO 3,44.03815204595668
2020-08-20 01:31:13,24.15921,543.9537,TURNO 3,44.41409259648386
2020-08-20 01:36:09,24.05104,528.1263,TURNO 3,45.54031866998481
2020-08-20 01:41:06,24.009420000000002,550.6666,TURNO 3,43.60064692501779
